epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.402,1.63156,2.63633,1.09453,0.71074,0.24214,0.27405,0.18779,1.51649,3.30258,1.03614,2.23029e-05,2.23029e-05,2.23029e-05
2,248.665,1.61172,2.53683,1.0901,0.77159,0.22924,0.27726,0.18585,1.5208,3.31011,1.03096,4.31632e-05,4.31632e-05,4.31632e-05
3,373.164,1.61628,2.46936,1.09582,0.69843,0.25913,0.28377,0.19077,1.50542,3.30073,1.0347,6.25496e-05,6.25496e-05,6.25496e-05
4,503.502,1.60377,2.41562,1.08358,0.76986,0.24963,0.29403,0.20149,1.49835,3.26328,1.03203,6.0367e-05,6.0367e-05,6.0367e-05
5,632.869,1.55204,2.35897,1.06515,0.74067,0.25461,0.29692,0.20183,1.49683,3.12903,1.02531,5.8156e-05,5.8156e-05,5.8156e-05
6,764.85,1.56792,2.36191,1.07405,0.75249,0.26883,0.30721,0.20574,1.48111,3.23792,1.02405,5.5945e-05,5.5945e-05,5.5945e-05
7,892.902,1.55412,2.23662,1.06973,0.78227,0.25064,0.31055,0.21069,1.47648,3.20472,1.02574,5.3734e-05,5.3734e-05,5.3734e-05
8,1025.78,1.53012,2.23435,1.06416,0.80841,0.24582,0.31852,0.21631,1.4891,3.08259,1.02819,5.1523e-05,5.1523e-05,5.1523e-05
9,1152.31,1.536,2.25639,1.06752,0.75303,0.27427,0.32282,0.21635,1.49106,3.10003,1.02185,4.9312e-05,4.9312e-05,4.9312e-05
10,1280.89,1.51846,2.14159,1.05896,0.75674,0.26889,0.32288,0.2187,1.5046,2.99506,1.02715,4.7101e-05,4.7101e-05,4.7101e-05
11,1435.22,1.51257,2.12647,1.05688,0.68542,0.30045,0.33452,0.22572,1.46054,2.86064,1.01484,4.489e-05,4.489e-05,4.489e-05
12,1597.85,1.52052,2.1138,1.05815,0.7767,0.27254,0.33932,0.22654,1.46187,2.85431,1.01602,4.2679e-05,4.2679e-05,4.2679e-05
13,1761.22,1.51538,2.14418,1.05741,0.64497,0.31832,0.34641,0.23661,1.44023,2.82907,1.0106,4.0468e-05,4.0468e-05,4.0468e-05
14,1941.46,1.52441,2.11316,1.05631,0.73899,0.29696,0.34814,0.23315,1.4418,2.85342,1.01158,3.8257e-05,3.8257e-05,3.8257e-05
15,2118.27,1.52025,2.09991,1.05889,0.76904,0.29046,0.3622,0.24761,1.44349,2.74211,1.01373,3.6046e-05,3.6046e-05,3.6046e-05
16,2288.33,1.50579,2.0978,1.04928,0.72805,0.29916,0.35911,0.24476,1.43509,2.71145,1.0091,3.3835e-05,3.3835e-05,3.3835e-05
17,2450.04,1.48023,2.03332,1.04313,0.67148,0.33191,0.36947,0.25317,1.43315,2.76177,1.00822,3.1624e-05,3.1624e-05,3.1624e-05
18,2605.08,1.48522,2.05993,1.04974,0.68937,0.33044,0.37007,0.25294,1.42868,2.76852,1.00415,2.9413e-05,2.9413e-05,2.9413e-05
19,2747.06,1.47798,1.98338,1.05546,0.74473,0.311,0.37163,0.25449,1.43315,2.70108,1.00443,2.7202e-05,2.7202e-05,2.7202e-05
20,2898.47,1.47084,1.97882,1.04389,0.73959,0.31023,0.3744,0.25877,1.42665,2.67603,1.00551,2.4991e-05,2.4991e-05,2.4991e-05
21,3063.86,1.46557,2.11679,1.05708,0.70402,0.31815,0.36425,0.24425,1.46393,2.80168,1.0182,2.278e-05,2.278e-05,2.278e-05
22,3198.59,1.46542,2.06413,1.05495,0.67648,0.32621,0.3743,0.2496,1.46436,2.75295,1.01597,2.0569e-05,2.0569e-05,2.0569e-05
23,3339.82,1.45728,2.01999,1.04675,0.70218,0.3504,0.38693,0.2583,1.4556,2.65575,1.01458,1.8358e-05,1.8358e-05,1.8358e-05
24,3483.9,1.44078,2.03213,1.0476,0.71212,0.33958,0.38487,0.26107,1.45577,2.65493,1.01098,1.6147e-05,1.6147e-05,1.6147e-05
25,3624.22,1.45483,1.98795,1.05426,0.67432,0.34914,0.38767,0.2631,1.45585,2.63822,1.01065,1.3936e-05,1.3936e-05,1.3936e-05
26,3833.44,1.41314,2.01821,1.03964,0.75142,0.34273,0.39752,0.26964,1.43768,2.58903,1.00608,1.1725e-05,1.1725e-05,1.1725e-05
27,3992.23,1.45165,1.98943,1.04892,0.74929,0.34476,0.39582,0.26974,1.43552,2.59305,1.00653,9.514e-06,9.514e-06,9.514e-06
28,4135.78,1.41425,1.96825,1.03786,0.75322,0.33439,0.39335,0.2678,1.43132,2.5899,1.0057,7.303e-06,7.303e-06,7.303e-06
